this	O
could	O
be	O
done	O
by	O
looking	O
more	O
specifically	O
into	O
the	O
suggested	O
fallback	O
clause	O
in	O
article	B-LAW
twenty	I-LAW
one	I-LAW
in	O
cases	O
brought	O
by	O
the	O
employee	O
against	O
the	O
employer	O
defining	O
as	O
relevant	O
the	O
place	O
of	O
business	O
from	O
which	O
the	O
employee	O
receives	O
or	O
received	O
day	O
to	O
day	O
instructions	O

two	B-DATE
thousand	I-DATE
and	I-DATE
twelve	I-DATE
for	O
instance	O
the	O
new	O
brussels	B-LAW
i	I-LAW
regulation	I-LAW
provides	O
for	O
the	O
right	O
for	O
employees	O
to	O
sue	O
several	O
employers	O
together	O
and	O
the	O
right	O
for	O
employees	O
to	O
have	O
access	O
to	O
courts	O
in	O
europe	B-LOC
even	O
if	O
the	O
employer	O
is	O
domiciled	O
outside	O
europe	B-LOC
the	O
commission	O
will	O

i	O
ask	O
you	O
therefore	O
to	O
enforce	O
the	O
standing	O
order	O
and	O
refer	O
these	O
reports	O
back	O
to	O
committee	O
so	O
that	O
they	O
do	O
not	O
take	O
up	O
our	O
time	O
when	O
they	O
should	O
be	O
sorted	O
out	O
in	O
committee	O

mr	O
president	O
i	O
understood	O
that	O
it	O
was	O
a	O
decision	O
of	O
the	O
conference	B-ORG
of	I-ORG
presidents	I-ORG
that	O
any	O
report	O
that	O
had	O
more	O
than	O
fifty	B-CARDINAL
amendments	O
had	O
to	O
be	O
referred	O
back	O
to	O
the	O
committee	O
to	O
be	O
resolved	O

we	O
have	O
four	B-CARDINAL
reports	O
in	O
front	O
of	O
us	O
today	B-DATE
the	O
langen	B-PERSON
lepage	B-PERSON
eickhout	B-PERSON
and	O
pieper	B-PERSON
reports	O
all	O
of	O
which	O
have	O
more	O
than	O
fifty	B-CARDINAL
amendments	O

mr	O
president	O
i	O
would	O
just	O
like	O
to	O
thank	O
all	O
the	O
political	O
groups	O
and	O
particularly	O
the	O
leaders	O
of	O
the	O
political	O
groups	O
for	O
a	O
very	O
smooth	O
arrangement	O
that	O
allowed	O
us	O
to	O
fill	O
these	O
two	B-CARDINAL
vacant	O
places	O

the	O
directive	O
requires	O
that	O
farmers	O
take	O
all	O
responsible	O
steps	O
to	O
ensure	O
that	O
animals	O
under	O
their	O
care	O
are	O
not	O
caused	O
unnecessary	O
pain	O
suffering	O
or	O
injury	O

the	O
report	O
also	O
invites	O
the	O
commission	O
to	O
use	O
scientific	O
evidence	O
as	O
the	O
basis	O
for	O
proposing	O
new	O
measures	O
for	O
housing	O
requirements	O
for	O
breeding	O
does	O
and	O
for	O
rabbits	O
reared	O
for	O
meat	O
production	O
i	O
would	O
remind	O
the	O
honourable	O
members	O
that	O
all	O
farmed	O
animal	O
species	O
including	O
rabbits	O
are	O
protected	O
by	O
the	O
rules	O
of	O
directive	B-LAW
ninety	I-LAW
eight	I-LAW

this	O
priority	O
is	O
particularly	O
relevant	O
because	O
we	O
continue	O
to	O
see	O
a	O
widespread	O
lack	O
of	O
compliance	O
regarding	O
animal	O
welfare	O
rules	O
across	O
many	O
member	O
states	O

this	O
opinion	O
provides	O
member	O
states	O
and	O
farmers	O
with	O
data	O
on	O
aspects	O
of	O
farming	O
systems	O
which	O
may	O
put	O
the	O
welfare	O
of	O
the	O
rabbits	O
at	O
risk	O

as	O
honourable	O
members	O
will	O
know	O
member	O
states	O
are	O
primarily	O
responsible	O
for	O
the	O
implementation	O
of	O
eu	B-GPE
legislation	O

rabbit	O
production	O
in	O
the	O
eu	B-GPE
is	O
essentially	O
concentrated	O
in	O
a	O
few	O
member	O
states	O
mainly	O
italy	B-GPE
spain	B-GPE
and	O
france	B-GPE

the	O
rules	O
of	O
the	O
directive	O
should	O
be	O
seen	O
in	O
conjunction	O
with	O
this	O
opinion	O

in	O
addition	O
in	O
two	B-DATE
thousand	I-DATE
and	I-DATE
five	I-DATE
the	O
european	B-ORG
food	I-ORG
safety	I-ORG
authority	I-ORG
published	O
an	O
opinion	O
on	O
the	O
impact	O
of	O
the	O
current	O
housing	O
and	O
husbandry	O
systems	O
on	O
the	O
health	O
and	O
welfare	O
of	O
farmed	O
domestic	O
rabbits	O

against	O
this	O
background	O
and	O
in	O
line	O
with	O
the	O
principles	O
of	O
subsidiarity	O
and	O
proportionality	O
the	O
commission	O
takes	O
the	O
view	O
that	O
the	O
member	O
states	O
involved	O
are	O
better	O
placed	O
to	O
address	O
the	O
relevant	O
issues	O
concerning	O
rabbit	O
production	O

fifty	B-CARDINAL
eight	I-CARDINAL
concerning	O
the	O
protection	O
of	O
animals	O
kept	O
for	O
farming	O
purposes	O

in	O
consideration	O
of	O
this	O
analysis	O
and	O
given	O
its	O
limited	O
resources	O
the	O
commission	O
does	O
not	O
consider	O
it	O
appropriate	O
to	O
propose	O
an	O
initiative	O
on	O
the	O
welfare	O
of	O
farm	O
rabbits	O

the	O
report	O
encourages	O
the	O
commission	O
to	O
take	O
a	O
number	O
of	O
non	O
legislative	O
actions	O
such	O
as	O
drawing	O
up	O
a	O
roadmap	O
to	O
include	O
guidelines	O
on	O
good	O
practices	O
and	O
a	O
commission	O
